label,V2_Lower,V2_Upper,V3_Lower,V3_Upper,V4_Lower,V4_Upper,V5_Lower,V5_Upper,V6_Lower,V6_Upper,V7_Lower,V7_Upper,V8_Lower,V8_Upper,V10_Lower,V10_Upper,V11_Lower,V11_Upper,V12_Lower,V12_Upper,V13_Lower,V13_Upper,V14_Lower,V14_Upper,V15_Lower,V15_Upper,V16_Lower,V16_Upper,V18_Lower,V18_Upper,V19_Lower,V19_Upper,V20_Lower,V20_Upper,V21_Lower,V21_Upper,V22_Lower,V22_Upper,V23_Lower,V23_Upper,V24_Lower,V24_Upper,V26_Lower,V26_Upper,V27_Lower,V27_Upper,V28_Lower,V28_Upper,V29_Lower,V29_Upper,V30_Lower,V30_Upper,V31_Lower,V31_Upper,V34_Lower,V34_Upper,V35_Lower,V35_Upper,V36_Lower,V36_Upper,V37_Lower,V37_Upper,V38_Lower,V38_Upper,V39_Lower,V39_Upper,V41_Lower,V41_Upper,V42_Lower,V42_Upper,V43_Lower,V43_Upper,V44_Lower,V44_Upper,V45_Lower,V45_Upper,V46_Lower,V46_Upper,V47_Lower,V47_Upper,V48_Lower,V48_Upper,V49_Lower,V49_Upper,V50_Lower,V50_Upper,V51_Lower,V51_Upper,V52_Lower,V52_Upper,V53_Lower,V53_Upper,V54_Lower,V54_Upper,V55_Lower,V55_Upper,V56_Lower,V56_Upper,V58_Lower,V58_Upper,V59_Lower,V59_Upper,V60_Lower,V60_Upper,V61_Lower,V61_Upper,V62_Lower,V62_Upper,V63_Lower,V63_Upper,V64_Lower,V64_Upper
0,0,0,0,7,9,16,10,15,1,11,0,1,0,0,0,2,8,16,9,16,9,16,9,16,0,4,0,0,0,6,12,16,0,12,0,3,9,16,1,9,0,0,1,8,8,16,0,9,0,0,7,12,4,10,0,8,9,16,0,5,0,0,9,14,2,11,0,0,1,7,12,16,0,7,0,9,13,16,0,7,0,0,0,0,0,3,7,16,11,16,8,16,10,16,0,2,0,0,0,0,0,10,10,16,10,16,1,6,0,0,0,0
0,0,0,0,4,7,13,13,16,7,12,0,1,0,0,0,1,7,14,14,16,8,15,11,16,5,10,0,0,0,5,14,16,2,16,0,10,2,11,8,10,0,0,1,8,12,16,0,5,0,0,4,12,7,8,4,7,9,16,0,4,0,0,8,14,3,8,0,0,1,6,10,16,0,5,0,2,11,15,0,8,0,0,0,0,0,3,11,16,6,12,8,14,8,15,0,4,0,0,0,0,1,5,10,14,13,14,1,9,0,0,0,0
0,0,2,0,3,8,12,7,11,0,1,0,0,0,0,0,13,1,14,12,15,8,12,4,10,0,0,0,0,2,12,4,16,0,10,0,1,9,13,0,1,0,0,1,7,5,15,0,10,0,0,3,7,5,8,2,6,10,14,0,0,0,0,2,5,9,10,0,0,0,1,13,15,0,3,0,0,1,3,11,14,0,0,0,0,0,0,5,7,9,13,0,8,7,11,11,13,0,0,0,0,0,2,9,11,13,16,11,16,2,7,0,0
0,0,0,1,6,11,15,12,15,2,8,0,0,0,0,0,3,12,15,3,11,1,11,9,16,0,4,0,0,2,8,9,16,0,3,0,7,14,16,0,6,0,0,4,8,4,13,0,0,0,2,10,16,0,8,4,8,4,12,0,0,0,0,10,16,0,7,0,0,0,4,10,16,0,1,0,1,10,16,0,5,0,0,0,0,0,1,7,14,2,11,6,12,10,16,0,2,0,0,0,0,1,5,11,16,12,16,0,7,0,0,0,0
0,0,0,0,6,12,16,0,9,0,0,0,0,0,0,0,0,9,14,10,16,14,16,3,13,0,0,0,0,0,4,10,16,11,16,8,16,11,16,0,7,0,0,1,7,12,16,1,11,0,3,4,14,0,8,4,8,8,16,0,2,0,0,4,16,0,8,0,0,1,8,11,16,0,3,0,1,6,16,1,10,0,0,0,0,0,5,9,16,6,12,5,9,13,15,0,6,0,0,0,0,1,6,10,14,12,16,3,12,0,1,0,0
0,0,0,2,9,11,16,11,16,1,8,0,0,0,0,0,6,12,16,5,10,4,9,12,16,0,3,0,0,2,8,10,16,0,1,0,2,9,16,2,9,0,0,4,9,4,14,0,2,0,0,4,12,5,12,4,10,4,12,0,2,0,0,3,8,8,10,0,0,1,8,6,13,0,0,0,0,4,9,4,11,0,0,0,0,0,3,12,16,2,9,0,7,7,15,0,8,0,0,0,0,3,8,12,16,13,16,3,15,0,2,0,0
0,0,0,1,10,7,16,3,12,0,2,0,0,0,0,0,2,9,15,5,16,8,16,5,15,0,1,0,0,0,7,9,16,0,5,0,7,12,16,0,6,0,0,2,8,8,15,0,1,0,1,4,12,4,8,2,8,5,13,0,0,0,0,4,11,4,8,0,0,0,7,7,16,0,0,0,0,4,12,3,11,0,0,0,0,0,4,9,16,2,12,3,11,13,16,0,6,0,0,0,0,1,7,11,16,12,16,2,15,0,1,0,0
0,0,2,7,10,14,16,11,16,2,13,0,1,0,0,0,11,15,16,7,13,3,8,13,15,0,8,0,0,0,12,13,16,0,8,0,2,8,15,5,8,0,0,3,11,12,16,0,6,0,0,6,15,5,11,5,9,11,16,0,2,0,0,12,15,4,11,0,0,4,8,12,16,0,3,1,7,15,16,1,5,0,0,0,0,2,5,15,16,1,10,11,16,9,15,0,1,0,0,0,0,7,11,15,16,12,15,1,3,0,0,0,0
0,0,0,1,7,8,16,1,16,1,8,0,0,0,0,0,5,7,16,10,16,0,14,10,16,0,5,0,0,0,5,11,16,0,12,0,4,6,13,1,8,0,0,0,7,6,16,0,6,0,0,4,10,4,8,3,8,8,13,0,1,0,0,4,11,2,8,0,0,0,7,9,16,0,1,0,2,11,15,0,9,0,0,0,0,0,3,9,16,4,15,6,16,7,15,0,3,0,0,0,0,0,8,10,16,5,15,0,4,0,0,0,0
0,0,0,2,9,10,16,5,16,0,4,0,0,0,0,0,4,7,16,12,16,11,16,2,13,0,0,0,0,3,10,10,16,0,9,0,11,11,16,0,5,0,0,4,8,6,16,0,3,0,2,8,16,2,8,4,8,8,16,0,4,0,0,5,13,8,9,0,0,0,8,10,16,0,6,0,1,7,15,7,11,0,0,0,0,0,3,9,16,7,16,8,16,15,16,1,12,0,0,0,0,1,9,9,16,11,16,4,14,0,3,0,0
