label,PC1_Lower,PC1_Upper,PC2_Lower,PC2_Upper,PC3_Lower,PC3_Upper,PC4_Lower,PC4_Upper,PC5_Lower,PC5_Upper,PC6_Lower,PC6_Upper,PC7_Lower,PC7_Upper,PC8_Lower,PC8_Upper,PC9_Lower,PC9_Upper
0,-0.645523323,-0.21034571,1.061866052,1.400740948,-0.699104925,-0.394135273,-0.784630662,-0.162896609,-0.764593214,-0.442340655,-1.059613137,-0.528548048,-0.046244413,0.476002561,-0.261690345,0.331085817,-0.449550118,0.190979973
0,-0.700942465,-0.025103569,1.057491382,1.536246994,-0.872813352,-0.147612354,-1.010819106,-0.425181671,-0.541447765,-0.068998978,-0.634067352,-0.300175661,-0.208914576,0.238673578,-0.445048284,-0.072231196,-0.265817923,0.085999719
0,-0.294364649,-0.018715868,1.148575111,1.505695945,0.142866971,0.517230538,-0.409517493,0.302777144,-0.686254836,-0.514896826,0.14672696,0.522393105,0.090950283,0.621021475,-0.390281772,-0.143898799,0.457773611,0.727438847
0,-0.13571027,0.544881508,1.128421878,1.541347258,-1.030267985,-0.398986381,-0.707409115,-0.300198683,-0.763511041,-0.513607253,-0.544560654,0.00959272,0.030613041,0.280961705,-0.124662581,0.362105642,-0.376935311,0.137894008
0,-0.578193929,-0.027284354,0.86243973,1.201915942,-0.695788068,-0.171773964,-0.303343327,0.137460718,-0.676627991,-0.064735592,-1.190073974,-0.56257474,-0.502796259,0.171605031,-0.024800015,0.466232494,-0.392623797,0.406285342
0,-0.087292252,0.389973327,1.371664062,1.880762818,-0.418885515,0.13970302,-0.747855741,-0.077317356,-0.905611636,-0.435737064,-0.234197555,0.172202148,-0.005560843,0.331256878,-0.491652492,-0.206595297,-0.072780411,0.292638511
0,-0.008636125,0.358675458,1.215610228,1.567808091,-0.506724322,0.092476766,-0.803026285,-0.526253535,-0.825428849,-0.426357447,-0.851451791,-0.296459387,0.073003365,0.320594968,0.066298108,0.61423257,-0.103755255,0.105631206
0,-0.26807055,0.258794725,1.320299821,1.662063355,-0.878944435,-0.166684107,-1.138768412,-0.72666058,-0.674539226,-0.141025168,-0.702300681,-0.319727074,-0.316531863,0.214971273,-0.131763062,0.325545674,-0.604754312,-0.036365134
0,-0.475630195,-0.03265575,0.993748562,1.463475668,-0.547983376,-0.219857086,-0.76597999,-0.43729758,-0.467927972,0.117424325,-0.918640358,-0.63907068,-0.204714577,0.282610588,-0.117961617,0.458606485,-0.270841306,0.004280652
0,-0.356926786,0.155095476,1.305133826,1.52921259,-0.350036844,0.169156286,-0.60600416,-0.150789256,-0.779919884,-0.421349259,-0.686631324,-0.312086806,0.098564625,0.436570023,-0.176839356,0.582073427,-0.018044947,0.332019098
0,-0.171534446,0.238408185,0.461692206,1.211856403,-0.844871636,-0.382305296,-1.30925053,-0.855397657,-0.55010166,0.317580955,-0.603610278,-0.158830099,0.14712289,0.621309602,-0.00134496,0.412943578,-0.513223165,-0.027516924
0,-0.924758314,-0.583983285,0.588144686,1.29910865,-0.913211726,-0.397664689,-0.383096522,0.223183127,-0.878703488,-0.28524265,-1.130639146,-0.581417779,-0.245969272,0.553082204,-0.204679783,0.184338081,-0.124863944,0.228814793
0,-0.005545898,0.449528703,1.296093336,1.811591214,0.046414801,0.264659832,-0.668641024,-0.152916508,-0.888240091,-0.375813032,-0.491780632,-0.122193025,0.017828705,0.364434434,-0.063649059,0.267495052,0.096428906,0.637818206
0,0.061838528,0.456319889,1.134527063,1.71107128,-0.3325794,0.04692531,-0.680641919,-0.497669755,-0.863320764,-0.441154647,-0.603587492,-0.191427638,0.154804196,0.381355632,-0.57660001,0.056136508,-0.275106527,0.18353765
0,-0.666298458,-0.242352912,1.25638692,1.67318595,-0.514845968,-0.147393829,-0.38645847,0.043019901,-0.815477636,-0.243863174,-0.958992891,-0.422131256,-0.422192871,0.141100509,-0.272811503,0.104343538,-0.045488105,0.314768287
0,0.203833707,0.772390191,1.231703601,1.5048608,-0.248491887,0.088312759,-0.882868665,-0.695588276,-0.434659398,0.004344232,-0.207207174,0.384669839,0.07370148,0.296369795,-0.126894147,0.063118399,-0.318753296,0.093463763
0,-0.327214409,0.056795875,1.283626118,1.799760602,-0.268958979,0.168494874,-0.819175036,-0.160594458,-0.816055677,-0.271976272,-0.527572739,-0.253976285,-0.312999827,0.097943602,-0.364984939,0.053774818,-0.07928914,0.33159986
0,-0.707171487,-0.074338009,1.06280513,1.60329703,0.001712219,0.535843717,-0.306329065,0.349978403,-0.658884464,-0.403077808,-0.867792261,-0.2011779,-0.26448365,0.219217335,-0.241782313,0.428407671,0.187624053,0.663176285
0,-0.598747634,0.091126213,0.661926058,1.30204574,-0.250391849,0.159019132,-1.164657975,-0.509088078,-0.812540482,-0.45559846,-1.134879853,-0.869058481,0.117532602,0.41958431,0.044096663,0.523234373,-0.162144028,0.306770161
0,-1.255767182,-0.988861541,0.287558837,0.951598292,-0.506036273,-0.033106286,-0.065122598,0.289488577,-0.253938496,-0.21350742,-0.74074025,-0.499735654,-0.285738967,0.190376324,-0.218912581,0.131761196,0.115533192,0.295132028
1,0.162069028,0.482795158,0.239307084,0.888754386,-1.706408126,-1.103083299,1.150164356,1.568960264,0.106409985,0.464044401,-0.274601162,0.03340994,-0.395294793,0.711422544,-0.629545639,-0.003808644,0.244190971,0.641204189
